DistName,RegnName,ACT-Composite,ACT-Part_Rate,Year
Klein ISD,Houston,22.4,27.4,2011
La Porte ISD,Houston,20.1,16.7,2011
Pasadena ISD,Houston,18.9,10.2,2011
Spring ISD,Houston,17.8,25.5,2011
Spring Branch ISD,Houston,23.6,49.4,2011
Tomball ISD,Houston,22.1,30.8,2011
Sheldon ISD,Houston,17.4,16.3,2011
Huffman ISD,Houston,21.8,20.5,2011
Dripping Springs ISD,Austin,25.5,44.0,2011
Wimberley ISD,Austin,23.3,51.0,2011
Granbury ISD,Fort Worth,22.9,35.1,2011
Lipan ISD,Fort Worth,,,2011
Tolar ISD,Fort Worth,21.1,40.0,2011
Caddo Mills ISD,Richardson,22.0,31.9,2011
Celeste ISD,Richardson,20.7,58.8,2011
Commerce ISD,Richardson,21.6,48.8,2011
Greenville ISD,Richardson,18.3,19.5,2011
Lone Oak ISD,Richardson,22.7,50.8,2011
Quinlan ISD,Richardson,18.7,10.1,2011
Wolfe City ISD,Richardson,20.5,82.5,2011
Campbell ISD,Richardson,19.3,,2011
Bland ISD,Richardson,20.1,44.4,2011
Boles ISD,Richardson,21.3,24.3,2011
Alvarado ISD,Fort Worth,18.8,15.9,2011
Burleson ISD,Fort Worth,22.3,13.5,2011
Cleburne ISD,Fort Worth,22.2,17.7,2011
Grandview ISD,Fort Worth,22.8,66.7,2011
Joshua ISD,Fort Worth,20.6,17.8,2011
Keene ISD,Fort Worth,18.6,17.5,2011
Rio Vista ISD,Fort Worth,22.4,,2011
Venus ISD,Fort Worth,19.2,36.7,2011
Godley ISD,Fort Worth,23.2,16.1,2011
Crandall ISD,Richardson,20.5,49.1,2011
Forney ISD,Richardson,20.5,24.8,2011
Kaufman ISD,Richardson,17.9,9.6,2011
Kemp ISD,Richardson,20.3,20.4,2011
Mabank ISD,Richardson,20.9,18.9,2011
Terrell ISD,Richardson,18.2,27.0,2011
Scurry-Rosser ISD,Richardson,21.1,17.5,2011
Boerne ISD,San Antonio,24.4,38.2,2011
Comfort ISD,Austin,19.3,21.7,2011
Center Point ISD,San Antonio,22.3,33.3,2011
Kerrville ISD,San Antonio,22.8,18.0,2011
Ingram ISD,San Antonio,21.3,37.5,2011
Brackett ISD,San Antonio,22.5,25.5,2011
Cotulla ISD,San Antonio,16.6,47.0,2011
Giddings ISD,Austin,19.8,25.8,2011
Lexington ISD,Austin,21.6,23.1,2011
Cleveland ISD,Houston,19.1,26.3,2011
Dayton ISD,Houston,19.7,13.4,2011
Hardin ISD,Houston,17.7,8.2,2011
Hull-Daisetta ISD,Houston,20.4,21.2,2011
Liberty ISD,Houston,19.1,24.6,2011
Tarkington ISD,Houston,17.8,7.4,2011
Llano ISD,Austin,22.4,23.3,2011
Eagle Pass ISD,San Antonio,17.8,19.9,2011
Devine ISD,San Antonio,20.4,43.1,2011
Natalia ISD,San Antonio,,,2011
Hondo ISD,San Antonio,21.3,62.5,2011
Medina Valley ISD,San Antonio,21.1,62.9,2011
Thorndale ISD,Austin,20.3,61.7,2011
Gordon ISD,Fort Worth,19.3,72.7,2011
Graford ISD,Fort Worth,,,2011
Mineral Wells ISD,Fort Worth,20.9,14.8,2011
Santo ISD,Fort Worth,19.2,53.8,2011
Strawn ISD,Fort Worth,21.2,62.5,2011
Springtown ISD,Fort Worth,21.5,26.0,2011
Weatherford ISD,Fort Worth,21.8,21.9,2011
Millsap ISD,Fort Worth,21.4,34.6,2011
Aledo ISD,Fort Worth,24.9,49.4,2011
Peaster ISD,Fort Worth,21.5,9.0,2011
Brock ISD,Fort Worth,22.8,26.2,2011
Leakey ISD,San Antonio,21.4,60.7,2011
Rockwall ISD,Richardson,23.2,46.8,2011
Royse City ISD,Richardson,20.0,30.1,2011
Glen Rose ISD,Fort Worth,21.6,55.4,2011
Arlington ISD,Fort Worth,21.0,25.2,2011
Birdville ISD,Fort Worth,22.0,29.7,2011
Everman ISD,Fort Worth,17.0,43.9,2011
Fort Worth ISD,Fort Worth,18.1,27.5,2011
Grapevine-Colleyville ISD,Fort Worth,24.5,52.1,2011
Keller ISD,Fort Worth,22.7,39.0,2011
Mansfield ISD,Fort Worth,20.9,25.7,2011
Lake Worth ISD,Fort Worth,17.4,25.0,2011
Crowley ISD,Fort Worth,20.2,25.1,2011
Kennedale ISD,Fort Worth,20.7,18.1,2011
Azle ISD,Fort Worth,22.3,21.3,2011
Hurst-Euless-Bedford ISD,Fort Worth,22.0,31.6,2011
Castleberry ISD,Fort Worth,19.6,14.8,2011
Eagle Mt-Saginaw ISD,Fort Worth,21.4,18.5,2011
Carroll ISD,Fort Worth,25.7,81.6,2011
White Settlement ISD,Fort Worth,19.5,21.7,2011
Austin ISD,Austin,21.3,32.6,2011
Pflugerville ISD,Austin,20.6,25.5,2011
Manor ISD,Austin,16.6,31.9,2011
Eanes ISD,Austin,27.0,66.6,2011
Del Valle ISD,Austin,18.7,31.7,2011
Lago Vista ISD,Austin,21.1,36.4,2011
Lake Travis ISD,Austin,24.3,47.7,2011
Knippa ISD,San Antonio,,,2011
Sabinal ISD,San Antonio,16.7,51.4,2011
Utopia ISD,San Antonio,24.3,56.3,2011
Canton ISD,Richardson,21.5,31.6,2011
Wills Point ISD,Richardson,20.4,36.1,2011
Hempstead ISD,Houston,15.7,44.6,2011
Waller ISD,Houston,19.4,49.5,2011
Royal ISD,Houston,18.3,63.6,2011
Florence ISD,Austin,20.9,25.0,2011
Georgetown ISD,Austin,21.8,35.9,2011
Granger ISD,Austin,25.1,25.0,2011
Hutto ISD,Austin,20.9,28.3,2011
Jarrell ISD,Austin,24.5,32.1,2011
Liberty Hill ISD,Austin,23.6,35.8,2011
Round Rock ISD,Austin,24.0,43.7,2011
Taylor ISD,Austin,19.7,21.4,2011
Thrall ISD,Austin,20.8,22.0,2011
Leander ISD,Austin,23.7,40.4,2011
Floresville ISD,San Antonio,19.6,33.2,2011
La Vernia ISD,San Antonio,21.9,27.2,2011
Poth ISD,San Antonio,22.6,40.4,2011
Stockdale ISD,San Antonio,21.2,20.4,2011
Alvord ISD,Fort Worth,22.1,38.6,2011
Boyd ISD,Fort Worth,20.0,11.0,2011
Bridgeport ISD,Fort Worth,20.2,33.3,2011
Chico ISD,Fort Worth,16.5,31.4,2011
Decatur ISD,Fort Worth,21.1,63.9,2011
Paradise ISD,Fort Worth,21.3,46.3,2011
Slidell ISD,Fort Worth,,,2011
Crystal City ISD,San Antonio,18.3,40.2,2011
La Pryor ISD,San Antonio,16.1,58.1,2011
Charlotte ISD,San Antonio,17.0,58.8,2012
Jourdanton ISD,San Antonio,21.0,53.8,2012
Lytle ISD,San Antonio,18.3,60.5,2012
Pleasanton ISD,San Antonio,20.4,24.5,2012
Poteet ISD,San Antonio,17.2,28.9,2012
Medina ISD,San Antonio,21.3,33.3,2012
Bandera ISD,San Antonio,20.8,40.1,2012
Bastrop ISD,Austin,20.0,15.0,2012
Elgin ISD,Austin,17.8,32.0,2012
Smithville ISD,Austin,21.0,43.4,2012
Bartlett ISD,Austin,,,2012
Alamo Heights ISD,San Antonio,23.9,52.1,2012
Harlandale ISD,San Antonio,17.9,28.0,2012
Edgewood ISD,San Antonio,16.1,38.9,2012
Randolph Field ISD,San Antonio,22.3,44.0,2012
San Antonio ISD,San Antonio,17.0,39.0,2012
South San Antonio ISD,San Antonio,17.7,12.9,2012
Somerset ISD,San Antonio,18.0,19.6,2012
North East ISD,San Antonio,21.9,27.1,2012
East Central ISD,San Antonio,19.5,27.8,2012
Southwest ISD,San Antonio,18.3,11.0,2012
Lackland ISD,San Antonio,22.0,84.6,2012
Ft Sam Houston ISD,San Antonio,21.7,52.3,2012
Northside ISD,San Antonio,21.2,21.9,2012
Judson ISD,San Antonio,18.9,15.9,2012
Southside ISD,San Antonio,18.0,28.1,2012
Johnson City ISD,Austin,19.2,12.0,2012
Blanco ISD,Austin,19.6,70.1,2012
Alvin ISD,Houston,20.4,18.8,2012
Angleton ISD,Houston,21.2,6.2,2012
Danbury ISD,Houston,20.0,,2012
Brazosport ISD,Houston,22.2,21.4,2012
Sweeny ISD,Houston,20.7,21.3,2012
Columbia-Brazoria ISD,Houston,20.2,13.0,2012
Pearland ISD,Houston,21.4,20.9,2012
Marble Falls ISD,Austin,21.1,37.5,2012
Lockhart ISD,Austin,18.4,31.4,2012
Luling ISD,Austin,18.6,13.7,2012
Prairie Lea ISD,Austin,21.3,50.0,2012
Anahuac ISD,Houston,18.9,28.2,2012
Barbers Hill ISD,Houston,21.8,23.3,2012
East Chambers ISD,Houston,21.0,25.6,2012
Allen ISD,Richardson,24.1,45.1,2012
Anna ISD,Richardson,20.8,28.1,2012
Celina ISD,Richardson,22.8,85.5,2012
Farmersville ISD,Richardson,22.2,26.6,2012
Frisco ISD,Richardson,23.6,51.6,2012
McKinney ISD,Richardson,23.7,46.5,2012
Melissa ISD,Richardson,22.6,50.0,2012
Plano ISD,Richardson,25.6,49.1,2012
Princeton ISD,Richardson,21.1,16.5,2012
Prosper ISD,Richardson,23.4,65.3,2012
Wylie ISD,Richardson,22.2,38.2,2012
Blue Ridge ISD,Richardson,21.2,42.9,2012
Community ISD,Richardson,20.8,34.1,2012
Lovejoy ISD,Richardson,24.3,68.6,2012
New Braunfels ISD,Austin,21.9,22.0,2012
Comal ISD,Austin,22.0,30.4,2012
Gainesville ISD,Fort Worth,20.0,36.7,2012
Muenster ISD,Fort Worth,24.1,66.7,2012
Valley View ISD,Fort Worth,20.3,31.7,2012
Callisburg ISD,Fort Worth,20.3,8.1,2012
Era ISD,Fort Worth,17.4,38.1,2012
Lindsay ISD,Fort Worth,23.3,54.8,2012
Carrollton-Farmers Branch ISD,Richardson,21.8,27.4,2012
Cedar Hill ISD,Richardson,19.1,63.4,2012
Dallas ISD,Richardson,17.2,42.8,2012
Desoto ISD,Richardson,18.0,44.1,2012
Duncanville ISD,Richardson,19.0,32.0,2012
Garland ISD,Richardson,20.9,24.6,2012
Grand Prairie ISD,Richardson,19.2,25.9,2012
Highland Park ISD,Richardson,26.6,80.5,2012
Irving ISD,Richardson,19.2,13.7,2012
Lancaster ISD,Richardson,16.1,30.8,2012
Mesquite ISD,Richardson,19.1,24.1,2012
Richardson ISD,Richardson,22.4,43.4,2012
Sunnyvale ISD,Richardson,21.2,40.4,2012
Coppell ISD,Richardson,25.1,65.7,2012
Denton ISD,Fort Worth,20.7,29.7,2012
Lewisville ISD,Fort Worth,23.7,41.0,2012
Pilot Point ISD,Fort Worth,21.2,57.3,2012
Krum ISD,Fort Worth,23.7,22.4,2012
Ponder ISD,Fort Worth,22.4,21.0,2012
Aubrey ISD,Fort Worth,21.6,34.3,2012
Sanger ISD,Fort Worth,21.2,27.1,2012
Argyle ISD,Fort Worth,23.6,64.2,2012
Northwest ISD,Fort Worth,22.8,33.0,2012
Lake Dallas ISD,Fort Worth,22.0,22.7,2012
Little Elm ISD,Fort Worth,19.2,34.5,2012
Avalon ISD,Richardson,,,2012
Ennis ISD,Richardson,19.1,49.1,2012
Ferris ISD,Richardson,18.6,9.6,2012
Italy ISD,Richardson,18.0,55.6,2012
Midlothian ISD,Richardson,22.0,53.4,2012
Milford ISD,Richardson,17.7,75.0,2012
Palmer ISD,Richardson,20.1,28.6,2012
Red Oak ISD,Richardson,20.4,44.7,2012
Waxahachie ISD,Richardson,20.6,30.2,2012
Maypearl ISD,Richardson,21.1,22.2,2012
Dublin ISD,Fort Worth,20.1,38.9,2012
Huckabay ISD,Fort Worth,22.3,93.8,2012
Lingleville ISD,Fort Worth,18.6,68.8,2012
Bonham ISD,Richardson,21.4,34.2,2012
Dodd City ISD,Richardson,24.1,70.0,2012
Ector ISD,Richardson,18.6,45.5,2012
Honey Grove ISD,Richardson,19.8,63.0,2012
Leonard ISD,Richardson,20.9,65.2,2012
Savoy ISD,Richardson,21.0,32.0,2012
Trenton ISD,Richardson,20.1,43.6,2012
Sam Rayburn ISD,Richardson,19.8,64.1,2012
Flatonia ISD,Austin,19.5,83.9,2012
La Grange ISD,Austin,20.7,20.7,2012
Schulenburg ISD,Austin,20.3,58.0,2012
Fayetteville ISD,Austin,22.8,,2012
Needville ISD,Houston,21.3,31.9,2012
Fort Bend ISD,Houston,22.3,33.3,2012
Dilley ISD,San Antonio,16.8,52.2,2012
Pearsall ISD,San Antonio,18.2,47.3,2012
Dickinson ISD,Houston,18.6,14.6,2012
Galveston ISD,Houston,19.4,24.7,2012
La Marque ISD,Houston,16.3,44.2,2012
Texas City ISD,Houston,17.8,8.6,2012
Hitchcock ISD,Houston,18.5,20.0,2012
Santa Fe ISD,Houston,20.0,6.9,2012
Clear Creek ISD,Houston,23.5,32.4,2012
Friendswood ISD,Houston,24.7,39.6,2012
Fredericksburg ISD,Austin,22.0,37.4,2012
Harper ISD,Austin,21.7,79.2,2012
Gonzales ISD,Austin,19.4,41.4,2012
Waelder ISD,Austin,,,2012
Bells ISD,Richardson,21.4,33.3,2012
Collinsville ISD,Richardson,21.8,72.7,2012
Denison ISD,Richardson,21.7,44.1,2012
Howe ISD,Richardson,21.2,39.7,2012
Sherman ISD,Richardson,21.6,26.0,2012
Van Alstyne ISD,Richardson,22.3,52.2,2012
Whitesboro ISD,Richardson,20.9,52.6,2012
Whitewright ISD,Richardson,21.9,35.3,2012
Pottsboro ISD,Richardson,22.8,31.3,2012
Gunter ISD,Richardson,22.5,66.7,2012
Tom Bean ISD,Richardson,22.1,42.4,2012
Seguin ISD,Austin,20.2,23.0,2012
Schertz-Cibolo-U City ISD,San Antonio,22.0,23.7,2012
Navarro ISD,Austin,20.9,47.7,2012
Marion ISD,Austin,20.4,22.1,2012
Aldine ISD,Houston,17.7,28.9,2012
Alief ISD,Houston,18.2,20.7,2012
Channelview ISD,Houston,17.8,19.5,2012
Crosby ISD,Houston,19.4,29.2,2012
Cypress-Fairbanks ISD,Houston,21.6,28.2,2012
Deer Park ISD,Houston,21.6,16.8,2012
North Forest ISD,Houston,15.5,10.7,2012
Galena Park ISD,Houston,18.1,36.8,2012
Houston ISD,Houston,20.5,21.9,2012
Humble ISD,Houston,22.0,32.7,2012
Katy ISD,Houston,23.5,37.3,2012
Klein ISD,Houston,22.9,28.0,2012
La Porte ISD,Houston,20.0,20.5,2012
Pasadena ISD,Houston,19.2,15.1,2012
Spring ISD,Houston,17.7,27.6,2012
Spring Branch ISD,Houston,23.7,48.3,2012
Tomball ISD,Houston,22.7,28.0,2012
Sheldon ISD,Houston,17.6,30.0,2012
Huffman ISD,Houston,19.9,18.9,2012
Dripping Springs ISD,Austin,24.6,43.7,2012
Wimberley ISD,Austin,22.3,50.8,2012
Granbury ISD,Fort Worth,21.7,40.0,2012
Lipan ISD,Fort Worth,18.2,28.6,2012
Tolar ISD,Fort Worth,21.7,55.6,2012
Caddo Mills ISD,Richardson,22.0,22.9,2012
Celeste ISD,Richardson,20.3,85.2,2012
Commerce ISD,Richardson,19.5,53.6,2012
Greenville ISD,Richardson,19.9,19.8,2012
Lone Oak ISD,Richardson,21.7,42.2,2012
Quinlan ISD,Richardson,18.7,12.1,2012
Wolfe City ISD,Richardson,21.6,66.7,2012
Campbell ISD,Richardson,18.5,50.0,2012
Bland ISD,Richardson,21.1,37.5,2012
Boles ISD,Richardson,20.1,40.0,2012
Alvarado ISD,Fort Worth,18.2,20.2,2012
Burleson ISD,Fort Worth,21.2,21.6,2012
Cleburne ISD,Fort Worth,22.3,13.9,2012
Grandview ISD,Fort Worth,22.5,52.1,2012
Joshua ISD,Fort Worth,21.6,13.5,2012
Keene ISD,Fort Worth,,,2012
Rio Vista ISD,Fort Worth,20.1,23.1,2012
Venus ISD,Fort Worth,18.8,48.6,2012
Godley ISD,Fort Worth,21.3,31.2,2012
Crandall ISD,Richardson,21.1,43.5,2012
Forney ISD,Richardson,20.1,25.5,2012
Kaufman ISD,Richardson,20.1,11.1,2012
Kemp ISD,Richardson,21.8,25.3,2012
Mabank ISD,Richardson,20.7,37.8,2012
Terrell ISD,Richardson,19.5,24.4,2012
Scurry-Rosser ISD,Richardson,20.5,23.7,2012
Boerne ISD,San Antonio,24.4,49.3,2012
Comfort ISD,Austin,20.0,34.9,2012
Center Point ISD,San Antonio,19.6,35.0,2012
Kerrville ISD,San Antonio,22.5,13.5,2012
Ingram ISD,San Antonio,21.3,42.9,2012
Brackett ISD,San Antonio,21.2,28.1,2012
Cotulla ISD,San Antonio,16.3,45.8,2012
Giddings ISD,Austin,19.3,218.2,2012
Lexington ISD,Austin,18.7,10.5,2012
Cleveland ISD,Houston,18.9,17.0,2012
Dayton ISD,Houston,18.7,8.0,2012
Hardin ISD,Houston,17.2,16.1,2012
Liberty ISD,Houston,19.1,28.9,2012
Tarkington ISD,Houston,21.2,10.9,2012
Llano ISD,Austin,20.0,23.8,2012
Eagle Pass ISD,San Antonio,17.9,14.0,2012
Devine ISD,San Antonio,18.5,36.7,2012
Natalia ISD,San Antonio,18.1,43.1,2012
Hondo ISD,San Antonio,22.3,60.0,2012
Medina Valley ISD,San Antonio,20.6,67.0,2012
Thorndale ISD,Austin,19.3,38.6,2012
Gordon ISD,Fort Worth,17.4,91.7,2012
Graford ISD,Fort Worth,18.3,31.8,2012
Mineral Wells ISD,Fort Worth,21.7,17.4,2012
Santo ISD,Fort Worth,20.4,65.5,2012
Strawn ISD,Fort Worth,16.0,55.6,2012
Poolville ISD,Fort Worth,,,2012
Springtown ISD,Fort Worth,21.6,20.3,2012
Weatherford ISD,Fort Worth,22.0,23.8,2012
Millsap ISD,Fort Worth,21.8,25.0,2012
Aledo ISD,Fort Worth,24.2,52.4,2012
Peaster ISD,Fort Worth,20.9,,2012
Brock ISD,Fort Worth,22.0,42.6,2012
Leakey ISD,San Antonio,17.4,57.1,2012
Rockwall ISD,Richardson,23.3,40.1,2012
Royse City ISD,Richardson,21.0,25.1,2012
Glen Rose ISD,Fort Worth,21.1,43.0,2012
Arlington ISD,Fort Worth,20.9,23.1,2012
Birdville ISD,Fort Worth,21.8,30.9,2012
Everman ISD,Fort Worth,16.8,55.7,2012
Fort Worth ISD,Fort Worth,18.2,29.6,2012
Grapevine-Colleyville ISD,Fort Worth,24.3,55.8,2012
Keller ISD,Fort Worth,23.1,37.0,2012
Mansfield ISD,Fort Worth,20.9,25.8,2012
Lake Worth ISD,Fort Worth,20.1,17.8,2012
Crowley ISD,Fort Worth,19.9,22.9,2012
Kennedale ISD,Fort Worth,20.0,18.2,2012
Azle ISD,Fort Worth,21.7,23.1,2012
Hurst-Euless-Bedford ISD,Fort Worth,21.8,35.4,2012
Castleberry ISD,Fort Worth,19.8,9.1,2012
Eagle Mt-Saginaw ISD,Fort Worth,21.2,22.6,2012
Carroll ISD,Fort Worth,26.1,77.3,2012
White Settlement ISD,Fort Worth,19.8,21.3,2012
Austin ISD,Austin,21.4,33.6,2012
Pflugerville ISD,Austin,20.3,28.2,2012
Manor ISD,Austin,16.9,52.5,2012
Eanes ISD,Austin,26.6,72.2,2012
Del Valle ISD,Austin,17.4,46.8,2012
Lago Vista ISD,Austin,21.2,44.7,2012
Lake Travis ISD,Austin,25.2,45.4,2012
Sabinal ISD,San Antonio,18.2,52.8,2012
Utopia ISD,San Antonio,24.9,66.7,2012
Canton ISD,Richardson,21.9,31.8,2012
Wills Point ISD,Richardson,21.9,35.2,2012
Hempstead ISD,Houston,17.1,47.4,2012
Waller ISD,Houston,19.1,46.2,2012
Royal ISD,Houston,18.2,55.3,2012
Florence ISD,Austin,20.7,25.3,2012
Georgetown ISD,Austin,23.0,33.3,2012
Granger ISD,Austin,19.4,37.5,2012
Hutto ISD,Austin,19.5,21.9,2012
Jarrell ISD,Austin,20.2,30.2,2012
Liberty Hill ISD,Austin,22.5,33.5,2012
Round Rock ISD,Austin,24.0,41.8,2012
Taylor ISD,Austin,18.4,25.2,2012
Thrall ISD,Austin,18.2,26.3,2012
Leander ISD,Austin,23.2,39.3,2012
Floresville ISD,San Antonio,20.2,40.1,2012
La Vernia ISD,San Antonio,22.2,25.4,2012
Poth ISD,San Antonio,23.6,34.8,2012
Stockdale ISD,San Antonio,17.4,,2012
